SPASE_ResourceName,HelioDate_short_name,SPASE_AlternateName,HelioDate_long_name
Sidmouth,Sidmouth,"['Sidmouth', 'IAGA:SDH']",Sidmouth
Silchar,Silchar,"['Silchar', 'IAGA:SIL']",IAGA:SIL
Simferopol,Simferopol,"['Simferopol', 'IAGA:SIM']",Simferopol
Simosato,Simosato,"['Simosato', 'IAGA:SSO']",Simosato
Singapore,Singapore,"['Singapore', 'IAGA:SIN']",Singapore
Siple,Siple,"['Siple', 'IAGA:SPL']",IAGA:SPL
Sitka,SIT,"['Sitka', 'IAGA:SIT']",IAGA:SIT
Slutsk,Slutsk,"['Slutsk', 'IAGA:SLU']",IAGA:SLU
Sodankyla,Sodankyla,"['Sodankyla', 'IAGA:SOD']",Sodankyla
Sogra,Sogra,"['Sogra', 'IAGA:SOG']",IAGA:SOG
Sonmiani,Sonmiani,"['Sonmiani', 'IAGA:SON']",Sonmiani
Soroa,Soroa,"['Soroa', 'IAGA:SOR']",IAGA:SOR
South Georgia,South Georgia,"['South.Georgia', 'IAGA:SGE']",South.Georgia
South Pole,South Pole,"['South.Pole', 'IAGA:SPA']",South.Pole
South Uist,South Uist,"['South.Uist', 'IAGA:SOU']",South.Uist
Spitsbergen,Spitsbergen,"['Spitsbergen', 'IAGA:SPB']",Spitsbergen
Srednikan,Srednikan,"['Srednikan', 'IAGA:SRE']",Srednikan
Srobarova,Srobarova,"['Srobarova', 'IAGA:SRO']",Srobarova
St Helier,St Helier,"['St.Helier', 'IAGA:STH']",St.Helier
St. John's,STJ,"[""St.John's"", 'IAGA:STJ']",St.John's
St. Petersburg,St. Petersburg,"['St..Petersburg', 'IAGA:SPE']",St..Petersburg
Stepanovka,Stepanovka,"['Stepanovka', 'IAGA:ODE']",Stepanovka
Stettin-Zabelsdorf,Stettin Zabelsdorf,"['Stettin-Zabelsdorf', 'IAGA:SZA']",Stettin-Zabelsdorf
Stonyhurst,Stonyhurst,"['Stonyhurst', 'IAGA:STO']",Stonyhurst
Sudbury,Sudbury,"['Sudbury', 'IAGA:SUB']",IAGA:SUB
Sukkertoppen,Sukkertoppen,"['Sukkertoppen', 'IAGA:SKT']",Sukkertoppen
Surlari,Surlari,"['Surlari', 'IAGA:SUA']",IAGA:SUA
Sveagruva,Sveagruva,"['Sveagruva', 'IAGA:SVG']",Sveagruva
Sverdlovsk/Yekaterinburg,Sverdlovsk Yekaterinburg,"['Yekaterinburg', 'IAGA:SVE']",Yekaterinburg
Swider,Swider,"['Swider', 'IAGA:SWI']",IAGA:SWI
Sydney,Sydney,"['Sydney', 'IAGA:SYD']",IAGA:SYD
Syowa Base,Syowa Base,"['Syowa.Base', 'IAGA:SYO']",Syowa.Base
Tacubaya,Tacubaya,"['Tacubaya', 'IAGA:TAC']",Tacubaya
Tahiti,Tahiti,"['Tahiti', 'IAGA:TAH']",IAGA:TAH
Taipei/Taihoku,Taipei Taihoku,"['Taihoku', 'IAGA:TAP']",IAGA:TAP
Talara,Talara,"['Talara', 'IAGA:TAL']",IAGA:TAL
Talkeetna,Talkeetna,"['Talkeetna', 'IAGA:TLK']",Talkeetna
Tamanrasset,Tamanrasset,"['Tamanrasset', 'IAGA:TAM']",Tamanrasset
Tambey,Tambey,"['Tambey', 'IAGA:TMB']",IAGA:TMB
Tampa,Tampa,"['Tampa', 'IAGA:TPA']",IAGA:TPA
Tangerang,Tangerang,"['Tangerang', 'IAGA:TNG']",Tangerang
Tashkent-1,Tashkent 1,"['Tashkent-1', 'IAGA:TAS']",Tashkent-1
Tashkent-2/Yangi-Bazar,Tashkent 2 Yangi Bazar,"['Yangi-Bazar', 'IAGA:TKT']",Yangi-Bazar
Tasiusak,Tasiusak,"['Tasiusak', 'IAGA:TSK']",Tasiusak
Tate's Cairn,Tate's Cairn,"[""Tate's.Cairn"", 'IAGA:TCN']",Tate's.Cairn
Tatuoca,Tatuoca,"['Tatuoca', 'IAGA:TTB']",IAGA:TTB
Teheran,Teheran,"['Teheran', 'IAGA:TEH']",IAGA:TEH
Tellnitz,Tellnitz,"['Tellnitz', 'IAGA:TEL']",Tellnitz
Teoloyucan,Teoloyucan,"['Teoloyucan', 'IAGA:TEO']",Teoloyucan
Teplitz Bay,Teplitz Bay,"['Teplitz.Bay', 'IAGA:TPB']",Teplitz.Bay
Terra Nova Bay,Terra Nova Bay,"['Terra.Nova.Bay', 'IAGA:TNB']",Terra.Nova.Bay
Terre Adelie,Terre Adelie,"['Terre.Adelie', 'IAGA:TAA']",Terre.Adelie
Tevriz,Tevriz,"['Tevriz', 'IAGA:TEV']",IAGA:TEV
Thompson,Thompson,"['Thompson', 'IAGA:TMP']",Thompson
Thule 1/Dundas,Thule 1 Dundas,"['Dundas', 'IAGA:THD']",IAGA:THD
Thule-2/Camp Tuto,Thule 2 Camp Tuto,"['Camp.Tuto', 'IAGA:THU']",Camp.Tuto
Thule-3/Qanaq,Thule 3 Qanaq,"['Qanaq', 'IAGA:THL']",IAGA:THL
Tiflis,Tiflis,"['Tiflis', 'IAGA:TIF']",IAGA:TIF
Tihany,Tihany,"['Tihany', 'IAGA:THY']",IAGA:THY
Tikhaya Bay,Tikhaya Bay,"['Tikhaya.Bay', 'IAGA:TKH']",Tikhaya.Bay
Tiouine,Tiouine,"['Tiouine', 'IAGA:TIO']",IAGA:TIO
Tiruchirapalli,Tiruchirapalli,"['Tiruchirapalli', 'IAGA:TIP']",Tiruchirapalli
Tirunelveli,Tirunelveli,"['Tirunelveli', 'IAGA:TIR']",Tirunelveli
Tixie Bay,Tixie Bay,"['Tixie.Bay', 'IAGA:TIK']",Tixie.Bay
Tokyo,Tokyo,"['Tokyo', 'IAGA:TOK']",IAGA:TOK
Toledo,Toledo,"['Toledo', 'IAGA:TOL']",IAGA:TOL
Tomsk,Tomsk,"['Tomsk', 'IAGA:TMK']",IAGA:TMK
Tondano,Tondano,"['Tondano', 'IAGA:TND']",IAGA:TND
Tonghai,Tonghai,"['Tonghai', 'IAGA:THJ']",IAGA:THJ
Toolangi,Toolangi,"['Toolangi', 'IAGA:TOO']",Toolangi
Toronto,Toronto,"['Toronto', 'IAGA:TOR']",IAGA:TOR
Toulouse,Toulouse,"['Toulouse', 'IAGA:TLS']",Toulouse
Toungoo,Toungoo,"['Toungoo', 'IAGA:TGO']",IAGA:TGO
Toyoharanew,Toyoharanew,"['Toyoharanew', 'IAGA:TOH']",Toyoharanew
Trelew,Trelew,"['Trelew', 'IAGA:TRW']",IAGA:TRW
Trivandrum,Trivandrum,"['Trivandrum', 'IAGA:TRD']",Trivandrum
Tromso,TRO,"['Tromso', 'IAGA:TRO']",IAGA:TRO
Tsingtao/Qingdao,Tsingtao Qingdao,"['Qingdao', 'IAGA:TSI']",IAGA:TSI
Tsumeb,Tsumeb,"['Tsumeb', 'IAGA:TSU']",IAGA:TSU
Tucson,TUC,"['Tucson', 'IAGA:TUC']",IAGA:TUC
Tulsa,Tulsa,"['Tulsa', 'IAGA:TUL']",IAGA:TUL
Tungsten,Tungsten,"['Tungsten', 'IAGA:TST']",Tungsten
Tuntungan,Tuntungan,"['Tuntungan', 'IAGA:TUN']",Tuntungan
Uccle,Uccle,"['Uccle', 'IAGA:UCC']",IAGA:UCC
Ugut,Ugut,"['Ugut', 'IAGA:UGT']",IAGA:UGT
Ujjain,Ujjain,"['Ujjain', 'IAGA:UJJ']",IAGA:UJJ
Ukhta,Ukhta,"['Ukhta', 'IAGA:UKH']",IAGA:UKH
Ulan Bator,Ulan Bator,"['Ulan.Bator', 'IAGA:UBA']",Ulan.Bator
Umba,Umba,"['Umba', 'IAGA:UMA']",IAGA:UMA
Uppsala.1,Uppsala.1,"['Uppsala.1', 'IAGA:UPP']",Uppsala.1
Uppsala.2,Uppsala.2,"['Uppsala.2', 'IAGA:UPS']",Uppsala.2
Uranium City,Uranium City,"['Uranium.City', 'IAGA:URC']",Uranium.City
Urumqi,Urumqi,"['Urumqi', 'IAGA:WMQ']",IAGA:WMQ
Utrecht,Utrecht,"['Utrecht', 'IAGA:UTR']",IAGA:UTR
Val Joyeux,Val Joyeux,"['Val.Joyeux', 'IAGA:VLJ']",Val.Joyeux
Valentia,Valentia,"['Valentia', 'IAGA:VAL']",Valentia
Van Rensselaer,Van Rensselaer,"['Van.Rensselaer', 'IAGA:VAN']",Van.Rensselaer
Vassouras,Vassouras,"['Vassouras', 'IAGA:VSS']",Vassouras
Victoria,VIC,"['Victoria', 'IAGA:VIC']",Victoria
Vieques,Vieques,"['Vieques', 'IAGA:VQS']",IAGA:VQS
Villa Remedios,Villa Remedios,"['Villa.Remedios', 'IAGA:VRE']",Villa.Remedios
Visakhapatnam,Visakhapatnam,"['Visakhapatnam', 'IAGA:VSK']",Visakhapatnam
Voeikovo,Voeikovo,"['Voeikovo', 'IAGA:LNN']",Voeikovo
Voroshilov,Voroshilov,"['Voroshilov', 'IAGA:VOR']",Voroshilov
Vostok,VOS,"['Vostok', 'IAGA:VOS']",IAGA:VOS
Vykhodnoy,Vykhodnoy,"['Vykhodnoy', 'IAGA:VYK']",Vykhodnoy
Vysokaya Dubrava,Vysokaya Dubrava,"['Vysokaya.Dubrava', 'IAGA:SVD']",Vysokaya.Dubrava
Wake Island,Wake Island,"['Wake.Island', 'IAGA:WKE']",Wake.Island
Warnkenhagen,Warnkenhagen,"['Warnkenhagen', 'IAGA:WRH']",Warnkenhagen
Warsaw,Warsaw,"['Warsaw', 'IAGA:WSW']",IAGA:WSW
Washington,Washington,"['Washington', 'IAGA:WDC']",Washington
Watheroo,Watheroo,"['Watheroo', 'IAGA:WAT']",Watheroo
Weston,Weston,"['Weston', 'IAGA:WES']",IAGA:WES
White Shell,White Shell,"['White.Shell', 'IAGA:WHS']",White.Shell
Wien,Wien,"['Wien', 'IAGA:WIK']",IAGA:WIK
Wien-Auhof,Wien Auhof,"['Wien-Auhof', 'IAGA:WIA']",Wien-Auhof
Wien-Kobenzl,Wien Kobenzl,"['Wien-Kobenzl', 'IAGA:WIK']",Wien-Kobenzl
Wilhelmshaven,Wilhelmshaven,"['Wilhelmshaven', 'IAGA:WLH']",Wilhelmshaven
Wilkes,Wilkes,"['Wilkes', 'IAGA:WIL']",IAGA:WIL
Wingst,Wingst,"['Wingst', 'IAGA:WNG']",IAGA:WNG
Winnipeg,Winnipeg,"['Winnipeg', 'IAGA:WNP']",Winnipeg
Witteveen,Witteveen,"['Witteveen', 'IAGA:WIT']",Witteveen
Wuhan,Wuhan,"['Wuhan', 'IAGA:WHN']",IAGA:WHN
Wustrow,Wustrow,"['Wustrow', 'IAGA:WUS']",IAGA:WUS
Yakutsk,Yakutsk,"['Yakutsk', 'IAGA:YAK']",IAGA:YAK
Yangi Bazar,Yangi Bazar,"['Yangi.Bazar', 'IAGA:TKT']",Yangi.Bazar
Yauca,Yauca,"['Yauca', 'IAGA:YAU']",IAGA:YAU
Yellowknife,YKC,"['Yellowknife', 'IAGA:YKC']",Yellowknife
Yuzhno Sakhalinsk,Yuzhno Sakhalinsk,"['Yuzhno.Sakhalinsk', 'IAGA:YSS']",Yuzhno.Sakhalinsk
Yuzhny Shar,Yuzhny Shar,"['Yuzhny.Shar', 'IAGA:YSH']",Yuzhny.Shar
Zaimishche/Kazan,Zaimishche Kazan,"['Kazan', 'IAGA:KZN']",IAGA:KZN
Zaria,Zaria,"['Zaria', 'IAGA:ZAR']",IAGA:ZAR
Zhong Shan,Zhong Shan,"['Zhong.Shan', 'IAGA:ZHS']",Zhong.Shan
Zi Ka Wei,Zi Ka Wei,"['Zi.Ka.Wei', 'IAGA:ZKW']",Zi.Ka.Wei
Zinzen,Zinzen,"['Zinzen', 'IAGA:ZIN']",IAGA:ZIN
Zo Se,Zo Se,"['Zo.Se', 'IAGA:ZSC']",IAGA:ZSC
Zuy,Zuy,"['Zuy', 'IAGA:ZUY']",IAGA:ZUY
IBEX,IBEX,[''],Interstellar Boundary Explorer
ICESTAR Observatory Group,ICESTAR Observatory Group,['ICESTAR Ground Observatory Group'],ICESTAR Ground Observatory Group
AGO P1,AGO P1,[''],AGO P1
AGO P2,AGO P2,[''],AGO P2
AGO P3,AGO P3,[''],AGO P3
AGO P4,AGO P4,[''],AGO P4
AGO P5,AGO P5,[''],AGO P5
AGO P6,AGO P6,[''],AGO P6
Gakona,Gakona,[''],Gakona
Iqaluit,Iqaluit,[''],Iqaluit
McMurdo,McMurdo,[''],McMurdo
South Pole,South Pole,[''],South Pole
Ionospheric Connection Explorer,ICON,"['ICON', '44628']",Ionospheric Connection
IGPP LANL Observatory Group,IGPP LANL Observatory Group,['IGPP LANL magnetometer chain'],IGPP LANL magnetometer chain
IGPP-LANL Air Force Academy Magnetometer,IGPP LANL Air Force Academy Magnetometer,[''],IGPP-LANL Air Force Academy Magnetometer
IGPP-LANL Boulder Magnetometer,IGPP LANL Boulder Magnetometer,[''],IGPP-LANL Boulder Magnetometer
IGPP-LANL Cambridge Magnetometer,IGPP LANL Cambridge Magnetometer,[''],IGPP-LANL Cambridge Magnetometer
IGPP-LANL Crete Magnetometer,IGPP LANL Crete Magnetometer,[''],IGPP-LANL Crete Magnetometer
IGPP-LANL Jicamarca Magnetometer,IGPP LANL Jicamarca Magnetometer,[''],IGPP-LANL Jicamarca Magnetometer
IGPP-LANL Los Alamos National Laboratory Magnetometer,IGPP LANL Los Alamos National Laboratory Magnetometer,[''],IGPP-LANL Los Alamos National Laboratory Magnetometer
IGPP-LANL Rapid City Magnetometer,IGPP LANL Rapid City Magnetometer,[''],IGPP-LANL Rapid City Magnetometer
IGPP-LANL San Gabriel Dam Magnetometer,IGPP LANL San Gabriel Dam Magnetometer,[''],IGPP-LANL San Gabriel Dam Magnetometer
IGPP-LANL SE Louisiana University Magnetometer,IGPP LANL SE Louisiana University Magnetometer,[''],IGPP-LANL SE Louisiana University Magnetometer
IGPP-LANL Table Mountain Magnetometer,IGPP LANL Table Mountain Magnetometer,[''],IGPP-LANL Table Mountain Magnetometer
IGPP-LANL Teoloyucan Magnetometer,IGPP LANL Teoloyucan Magnetometer,[''],IGPP-LANL Teoloyucan Magnetometer
International GNSS Service (IGS),IGS,['International GPS Service'],International GNSS Service
Indian Institute of Geomagnetism,Indian Institute of Geomagnetism,['IIG'],IIG
IMAGE,IMAGE,"['2000-017A', 'MIDEX/IMAGE', 'Imager for Magnetopause-to-Aurora Global Exploration', 'Explorer 78']",Imager for Magnetopause-to-Aurora Global Exploration
IMP Spacecraft Series,IMP,[''],IMP Spacecraft Series
IMP 4,IMP 4,"['1967-051A', 'IMP-F', 'Explorer 34']",Explorer 34
IMP 5,IMP 5,"['1969-053A', 'IMP-G', 'Explorer 41']",Explorer 41
IMP 6,IMP 6,"['1971-019A', 'Explorer 43', 'IMP-I']",Explorer 43
IMP 7,IMP 7,"['1972-073A', 'Explorer 47', 'IMP-H']",Explorer 47
IMP 8,IMP 8,"['IMP-J', 'Explorer 50', '1973-078A']",Explorer 50
Injun 5,Injun,"['Explorer 40', 'Injun-C']",Explorer 40
Interball-1,Interball 1,"['1995-039A', 'Interball Tail Probe', 'Prognoz 11']",Interball Tail Probe
Interball-2,Interball 2,"['1996-050C', 'Auroral Probe', 'Prognoz 2M', 'Interball Auroral Probe', 'Prognoz 12']",Interball Auroral Probe
Interball Auroral,Interball Auroral,[''],Interball Auroral
Interball Tail,Interball Tail,[''],Interball Tail
IRIDIUM,IRIDIUM,[''],IRIDIUM
IRIDIUM_1_70,IRIDIUM_1_70,[''],IRIDIUM_1_70
Interface Region Imaging Spectrograph (IRIS),IRIS,['2013-033A'],Interface Region Imaging Spectrograph
ISEE Mission,ISEE,[''],International Sun-Earth Explorer
ISEE 1,ISEE 1,"['1977-102A', 'International Sun-Earth Explorer-A', 'Explorer 56', 'ISEE-A']",International Sun-Earth Explorer-A
ISEE 2,ISEE 2,"['1977-102B', 'International Sun-Earth Explorer-B', 'ISEE-B']",International Sun-Earth Explorer-B
ISEE 3,ISEE 3,"['1978-079A', 'International Sun-Earth Explorer-C', 'ISEE-C', 'International Cometary Explorer', 'ICE', 'Explorer 59']",International Sun-Earth Explorer-C
ISIS Satellites,ISIS,['International Sats for Ionosph Studies'],International Sats for Ionosph Studies
ISIS 1,ISIS 1,"['1969-009A', 'International Sats for Ionosph Studies', 'ISIS-A']",International Sats for Ionosph Studies
ISIS 2,ISIS 2,"['1971-024A', 'International Sats for Ionosph Studies', 'ISIS-B']",International Sats for Ionosph Studies
ISLL,ISLL,[''],ISLL
International Space Station,ISS,[''],International Space Station
JSPO,JSPO,[''],JSPO
Juno,Juno,['Juno Orbiter'],Juno Orbiter
Kaguya (SELENE),Kaguya (SELENE),[''],Kaguya (SELENE)
Kitt Peak,Kitt Peak,['KP'],KP
Korean Multi-Purpose Satellite (KOMPSAT-1),Korean Multi Purpose Satellite (KOMPSAT 1),[''],Korean Multi-Purpose Satellite (KOMPSAT-1)
KSO,KSO,[''],KSO
LANL Spacecraft Series,LANL,[''],LANL Spacecraft Series
LANL01A,LANL01A,[''],LANL01A
LANL02A,LANL02A,[''],LANL02A
LANL1989,LANL1989,['1989-046'],1989-046
LANL1990,LANL1990,['1990-095'],1990-095
LANL1991,LANL1991,['1991-080'],1991-080
LANL1994,LANL1994,['1994-084'],1994-084
LANL1997,LANL-97A,['LANL-97A'],LANL-97A
LANL2001,LANL-01A,['LANL-01A'],LANL-01A
LANL2002,LANL-02sA,['LANL-02sA'],LANL-02sA
LANL97A,LANL-97,['LANL-97'],LANL-97
LOFAR,LOFAR,[''],LOFAR
Magion-4,Magion 4,"['1995-039F', 'S2-X', 'Tail Subsatellite S2-X', 'Interball S2-X']",Tail Subsatellite S2-X
Magsat,Magsat,"['1979-094A', 'Explorer 61']",Explorer 61
Mariner 10,Mariner,[''],Mariner 10
Mars Express,Mars Express,[''],Mars Express
"Mars Science Laboratory, MSL",MSL,['Curiosity'],Mars Science Laboratory
Mars Atmosphere and Volatile Evolution,MAVEN,['MAVEN'],Mars Atmosphere and Volatile EvolutioN
Mid-continent Magnetoseismic Chain (McMAC) Americus Station,Mid continent Magnetoseismic Chain (McMAC) Americus Station,[''],Mid-continent Magnetoseismic Chain (McMAC) Americus Station
Mid-continent Magnetoseismic Chain (McMAC) Bennington Station,Mid continent Magnetoseismic Chain (McMAC) Bennington Station,[''],Mid-continent Magnetoseismic Chain (McMAC) Bennington Station
Mid-continent Magnetoseismic Chain (McMAC) Glyndon Station,Mid continent Magnetoseismic Chain (McMAC) Glyndon Station,[''],Mid-continent Magnetoseismic Chain (McMAC) Glyndon Station
Mid-continent Magnetoseismic Chain (McMAC) Linares Station,Mid continent Magnetoseismic Chain (McMAC) Linares Station,[''],Mid-continent Magnetoseismic Chain (McMAC) Linares Station
Mid-continent Magnetoseismic Chain (McMAC) Lyford Station,Mid continent Magnetoseismic Chain (McMAC) Lyford Station,[''],Mid-continent Magnetoseismic Chain (McMAC) Lyford Station
Mid-continent Magnetoseismic Chain (McMAC) Purcell Station,Mid continent Magnetoseismic Chain (McMAC) Purcell Station,[''],Mid-continent Magnetoseismic Chain (McMAC) Purcell Station
Mid-continent Magnetoseismic Chain (McMAC) Richardson Station,Mid continent Magnetoseismic Chain (McMAC) Richardson Station,[''],Mid-continent Magnetoseismic Chain (McMAC) Richardson Station
Mid-continent Magnetoseismic Chain (McMAC) San Antonio Station,Mid continent Magnetoseismic Chain (McMAC) San Antonio Station,[''],Mid-continent Magnetoseismic Chain (McMAC) San Antonio Station
Mid-continent Magnetoseismic Chain (McMAC) Worthington Station,Mid continent Magnetoseismic Chain (McMAC) Worthington Station,[''],Mid-continent Magnetoseismic Chain (McMAC) Worthington Station
MEASURE,MEASURE,"['MEASURE Observatory Chain', 'The observatory group created to represent the chain of stations in the MEASURE Array.']",The observatory group created to represent the chain of stations in the MEASURE Array.
Applied Physics Lab Geomagnetic Observatory,Applied Physics Lab Geomagnetic Observatory,[''],Applied Physics Lab Geomagnetic Observatory
Bullcreek Observatory Geomagnetic Observatory,Bullcreek Observatory Geomagnetic Observatory,[''],Bullcreek Observatory Geomagnetic Observatory
Clarkson University Geomagnetic Observatory,Clarkson University Geomagnetic Observatory,[''],Clarkson University Geomagnetic Observatory
Darksky Observatory Geomagnetic Observatory,Darksky Observatory Geomagnetic Observatory,[''],Darksky Observatory Geomagnetic Observatory
Grafton Test Facility Geomagnetic Observatory,Grafton Test Facility Geomagnetic Observatory,[''],Grafton Test Facility Geomagnetic Observatory
The Jacksonville University Geomagnetic Observatory.,The Jacksonville University Geomagnetic Observatory.,[''],The Jacksonville University Geomagnetic Observatory.
The Millstone Hill Geomagnetic Observatory.,The Millstone Hill Geomagnetic Observatory.,[''],The Millstone Hill Geomagnetic Observatory.
The University of South Carolina Geomagnetic Observatory.,The University of South Carolina Geomagnetic Observatory.,[''],The University of South Carolina Geomagnetic Observatory.
MESSENGER,MESSENGER,"['Mercury Surface, Space Environment, Geochemistry and Ranging']","Mercury Surface, Space Environment, Geochemistry and Ranging"
MetOp-A,MetOp A,[''],MetOp-A
MetOp-A,MetOp A,[''],MetOp-A
Observatoire de Paris (Meudon site),Observatoire de Paris (Meudon site),[''],Observatoire de Paris (Meudon site)
Mars Global Surveyor,MGS,"['1996-062A', 'MGS', '1996-062A']",Mars Global Surveyor
Magnetosphere-Ionosphere Coupling in the Alfvén resonator (MICA),Magnetosphere Ionosphere Coupling in the Alfvén resonator (MICA),[''],Magnetosphere-Ionosphere Coupling in the Alfvén resonator (MICA)
MMS,MMS,[''],Magnetospheric Multiscale
MMS-1,MMS 1,[''],MMS-1
MMS-2,MMS 2,[''],MMS-2
MMS-3,MMS 3,[''],MMS-3
MMS-4,MMS 4,[''],MMS-4
Munin Spacecraft,Munin Spacecraft,[''],Munin Spacecraft
Neutron Monitor Stations,Neutron Monitor Stations,[''],Neutron Monitor Stations
Fort Smith,Fort Smith,[''],Fort Smith
Inuvik,Inuvik,[''],Inuvik
McMurdo,McMurdo,[''],McMurdo
Nain,Nain,[''],Nain
Peawanuck,Peawanuck,[''],Peawanuck
South Pole,South Pole,[''],South Pole
SwarthmoreNewark,SwarthmoreNewark,[''],SwarthmoreNewark
Thule,Thule,[''],Thule
Climax,Climax,[''],Climax
Haleakala,Haleakala,[''],Haleakala
Huancayo,Huancayo,[''],Huancayo
New Horizons,New Horizons,['New Horizons Pluto Kuiper Belt Flyby'],New Horizons Pluto Kuiper Belt Flyby
Nimbus 7,Nimbus,[''],Nimbus 7
NOAA 10,NOAA 10,['1986-073A'],1986-073A
NOAA 11,NOAA 11,[''],NOAA 11
NOAA 12,NOAA 12,"['1991-032A', 'NOAA-D']",1991-032A
NOAA 13,NOAA 13,"['1993-050A', 'NOAA-I', 'Advanced TIROS-N (ATN)', 'POES']",Advanced TIROS-N (ATN)
NOAA 14,NOAA 14,"['1994-089A', 'Advanced TIROS-N (ATN)', 'POES', 'NOAA-J']",Advanced TIROS-N (ATN)
NOAA 15,NOAA 15,"['1998-030A', 'Polar Operational Environmental Satellite', 'POES 15', 'Advanced TIROS-N (ATN)']",Polar Operational Environmental Satellite
NOAA 16,NOAA 16,"['2000-055A', 'Advanced TIROS-N (ATN)', 'POES 16']",Advanced TIROS-N (ATN)
NOAA 17,NOAA 17,"['2002-032A', 'Advanced TIROS-N (ATN)']",Advanced TIROS-N (ATN)
NOAA 18,NOAA 18,"['2005-018A', 'Advanced TIROS-N (ATN)']",Advanced TIROS-N (ATN)
NOAA 19,NOAA 19,"['2009-005A', 'NOAA-N Prime']",NOAA-N Prime
NOAA 5,NOAA 5,"['1976-077A', 'ITOS-H']",1976-077A
NOAA 6,NOAA 6,"['1979-057A', 'NOAA-A']",1979-057A
NOAA 7,NOAA 7,"['1981-059A', 'NOAA-C']",1981-059A
NOAA 8,NOAA 8,"['1983-022A', 'NOAA-E']",1983-022A
NOAA 9,NOAA,[''],NOAA 9
NOB_RH,NOB_RH,[''],NOB_RH
NSO Observatory Group,NSO Observatory Group,[''],NSO Observatory Group
OAC,OAC,[''],OAC
ObsParis,ObsParis,[''],ObsParis
Oersted,Oersted,"['Orsted', 'NSSDC ID: 1999-008B']",NSSDC ID: 1999-008B
OGO Satellites,OGO,[''],OGO Satellites
OGO 2,OGO 2,"['OGO-C', 'POGO 1', '01620', '1965-081A']",1965-081A
OGO 4,OGO 4,"['1967-073A', 'OGO-D', 'POGO 2']",1967-073A
OGO 6,OGO 6,"['1969-051A', 'OGO-F', 'PL-691D', 'S 60', 'POGO 3']",1969-051A
Ohzora,Ohzora,"['1984-015A', 'Exospheric Sat. C', 'EXOS-C']",Exospheric Sat. C
OMNI,OMNI,[''],OMNI
OV1-19,OV1 19,"['LANL97A', '1969-025C', '03825']",1969-025C
OV3-3,OV3 3,"['1966-070A', '02389']",1966-070A
PADRE,PADRE,['Solar Polarization and Directivity X-Ray Experiment'],Solar Polarization and Directivity X-Ray Experiment
Parker Solar Probe Spacecraft,PSP,"['PSP', 'Solar Probe Plus Spacecraft', 'SPP']",Parker Solar Probe
Phobos 2,Phobos,['Fobos 2'],Fobos 2
PICARD,PICARD,[''],PICARD
Pic du Midi,Pic du Midi,[''],Pic du Midi
PINA,PINA,[''],PINA
Pioneer Spacecraft Series,Pioneer,[''],Pioneer Spacecraft Series
Pioneer 10,Pioneer 10,"['1972-012A', 'Pioneer-F']",1972-012A
Pioneer 11,Pioneer 11,"['1973-019A', 'Pioneer-G']",1973-019A
Pioneer Venus Orbiter,Pioneer Venus Orbiter,"['1978-051A', 'Pioneer Venus 1', 'PVO', 'Pioneer 12', 'Pioneer Venus 1978 Orbiter']",Pioneer Venus 1978 Orbiter
Polar-orbiting Operational Environmental Satellite (POES),Polar orbiting Operational Environmental Satellite (POES),[''],Polar-orbiting Operational Environmental Satellite (POES)
POLAR,Polar,"['Polar Plasma Laboratory', 'GGS/Polar', 'ISTP/Polar']",Polar
PROBA2,PROBA 2,[''],PROBA2
Prognoz Spacecraft Series,Prognoz,[''],Prognoz Spacecraft Series
Prognoz 6,Prognoz 6,['1977-093A'],1977-093A
Prognoz 7,Prognoz 7,['1978-101A'],1978-101A
Prognoz 9,Prognoz 9,"['1983-067A', 'Relict']",1983-067A
RABB,RABB,[''],RABB
Radio JOVE Observatory Network,Radio JOVE Observatory Network,[''],Radio JOVE Observatory Network
AJ4CO Radio Observatory,AJ4CO Radio Observatory,['AJ4CO'],AJ4CO
Hawk's Nest Radio Astronomy Observatory,Hawk's Nest Radio Astronomy Observatory,['HNRAO'],HNRAO
Middle Tennessee State University,Middle Tennessee State University,['MTSU'],MTSU
RANK,RANK,[''],RANK
Radiation Belt Storm Probe Satellite,RBSP,"['Radiation Belt Storm Probe', 'Van Allen Probes']",Van Allen Probes
Van Allen Probe A,Van Allen Probe A,['Radiation Belt Storm Probe A'],Radiation Belt Storm Probe A
Van Allen Probe B,Van Allen Probe B,['Radiation Belt Storm Probe B'],Radiation Belt Storm Probe B
Redline Emission Geospace Observatory (rEGO),Redline Emission Geospace Observatory (rEGO),[''],Redline Emission Geospace Observatory (rEGO)
"Rocket Experiment for Neutral Upwelling 2, RENU 2, Sounding Rocket Payload",RENU 2,[''],Rocket Experiment for Neutral Upwelling 2
RHESSI,RHESSI,"['2002-004A', 'SMEX/RHESSI', 'Small Explorer/RHESSI', 'HESSI', 'Reuven Ramaty High Energy Solar Spectroscopic Imager']",Reuven Ramaty High Energy Solar Spectroscope Imager
ROCSAT-1,ROCSAT-1,"['Formosat-1', 'Republic of China Satellite-1']",Republic of China Satellite-1
Rosetta,Rosetta,['Rosetta Comet Rendezvous'],Rosetta Comet Rendezvous
S-Cubed A,S-Cubed_A,"['Explorer 45', 'SSS-A']",S-Cubed A
S3-3,S3 3,"['SESP S74-2A', 'SS74-2A', 'S74-2', '09007']",SESP S74-2A
